Date, Sleep Time, Wake Time, Hours,Note
07/02/14,22:24,06:15,7.85,
06/30/14,23:15,06:15,6.99,
06/29/14,23:12,08:31,9.32,
06/26/14,22:46,06:15,7.47,
06/25/14,22:40,06:15,7.58,
06/24/14,22:52,06:15,7.36,
06/23/14,22:18,06:15,7.94,
06/20/14,22:47,06:15,7.46,
06/19/14,22:37,06:15,7.63,
06/18/14,22:40,06:15,7.58,
06/17/14,22:04,06:15,8.17,
06/16/14,22:34,06:15,7.67,
06/15/14,23:33,07:17,7.73,
06/14/14,00:24,08:22,7.96,
06/13/14,22:21,06:15,7.90,
06/12/14,22:33,06:15,7.69,
06/11/14,22:33,22:33,0.00,
06/11/14,21:56,06:15,8.31,
06/10/14,22:25,06:15,7.83,
06/09/14,22:30,06:15,7.74,
06/08/14,23:23,08:02,8.64,
06/07/14,23:57,09:10,9.21,
06/06/14,22:30,06:15,7.74,
06/05/14,22:32,06:15,7.71,
06/04/14,22:32,06:15,7.71,
06/03/14,22:15,06:15,7.99,
06/02/14,22:18,06:15,7.95,
06/01/14,22:18,07:41,9.38,
05/31/14,23:07,07:04,7.94,
05/30/14,22:27,06:15,7.78,
05/29/14,22:45,06:15,7.49,
05/28/14,22:33,06:15,7.69,
05/27/14,22:39,06:15,7.59,
05/26/14,06:15,06:30,0.24,
05/26/14,22:01,06:15,8.23,
05/25/14,00:49,08:01,7.18,
05/24/14,23:50,06:32,6.69,
05/23/14,22:12,06:15,8.04,
05/22/14,21:50,06:15,8.40,
05/21/14,21:59,06:15,8.26,
05/20/14,22:41,06:15,7.55,
05/19/14,00:22,08:01,7.65,
05/18/14,23:09,07:39,8.49,
05/16/14,22:30,06:15,7.73,
05/15/14,22:36,06:15,7.64,
05/14/14,22:26,06:15,7.80,
05/13/14,22:11,06:15,8.05,
05/12/14,22:47,06:15,7.45,
05/10/14,00:07,08:21,8.24,
05/09/14,22:34,06:15,7.68,
05/08/14,22:57,06:15,7.30,
05/07/14,22:58,06:15,7.28,
05/06/14,22:33,06:15,7.70,
05/05/14,23:17,06:15,6.95,
05/04/14,00:42,08:21,7.64,
05/03/14,23:50,07:54,8.06,
05/02/14,23:02,06:15,7.21,
05/01/14,23:07,06:15,7.13,
04/30/14,22:46,06:21,7.57,
04/29/14,23:12,06:37,7.41,
04/28/14,22:42,06:25,7.70,
04/27/14,00:52,09:04,8.20,
04/26/14,23:27,09:03,9.60,
04/25/14,23:25,07:01,7.59,
04/24/14,23:48,07:30,7.69,
04/23/14,23:34,10:05,10.5,
04/22/14,00:09,08:19,8.16,
04/21/14,23:41,08:51,9.16,
04/20/14,00:40,09:11,8.50,
04/19/14,23:56,07:00,7.05,
04/18/14,06:55,09:24,2.47,
04/17/14,03:50,11:29,7.65,
04/16/14,01:27,09:15,7.79,
04/15/14,01:12,06:45,5.55,
04/14/14,23:28,08:00,8.52,
04/13/14,01:20,08:40,7.32,
04/12/14,23:57,08:10,8.20,
04/11/14,00:48,08:10,7.36,
04/10/14,00:25,08:00,7.58,
04/09/14,01:16,08:00,6.72,
04/08/14,00:15,08:00,7.75,
04/07/14,20:44,07:30,10.7,
04/05/14,23:14,09:00,9.76,
04/04/14,02:58,07:30,4.53,
04/03/14,00:24,07:30,7.09,
04/03/14,00:24,00:24,5.55,
04/02/14,00:07,07:10,7.03,
04/01/14,07:11,07:30,0.31,
04/01/14,22:48,07:10,8.35,
03/31/14,23:26,07:10,7.73,
03/30/14,21:36,11:26,13.8,
03/28/14,04:17,07:41,3.40,
03/27/14,01:33,07:20,5.77,
03/27/14,22:29,01:32,3.04,
03/26/14,22:46,07:10,8.40,
03/25/14,22:50,07:55,9.09,
03/24/14,23:45,07:10,7.40,
03/21/14,03:43,07:30,3.77,
03/20/14,07:11,07:30,0.30,
03/20/14,23:58,07:10,7.19,
03/19/14,23:54,07:30,7.58,
03/18/14,22:35,07:30,8.91,
03/17/14,23:34,07:30,7.92,
03/16/14,00:37,09:00,8.37,
03/15/14,23:14,08:30,9.26,
03/14/14,02:41,07:30,4.81,
03/13/14,23:02,07:50,8.79,
03/12/14,00:31,07:30,6.97,
03/11/14,23:32,08:00,8.46,
03/10/14,07:20,07:30,0.15,
03/10/14,00:13,07:20,7.10,
03/09/14,01:28,10:39,8.18,
03/08/14,22:19,09:13,10.9,
03/07/14,02:15,07:30,5.23,
03/06/14,22:44,07:30,8.76,
03/05/14,02:01,07:30,5.47,
03/04/14,23:28,07:30,8.02,
03/03/14,00:17,07:10,6.87,
03/02/14,00:03,08:51,8.80,
03/02/14,00:02,00:02,0.00,
03/01/14,23:51,08:30,8.63,
02/28/14,07:33,07:45,0.18,
02/28/14,00:55,07:33,6.62,
02/27/14,23:44,08:00,8.26,
02/26/14,01:54,07:10,5.26,
02/25/14,23:05,07:15,8.15,
02/24/14,22:53,07:10,8.27,
02/22/14,23:46,07:25,7.65,
02/21/14,00:05,08:14,8.15,
02/20/14,23:15,08:07,8.87,
02/19/14,00:01,07:31,7.50,
02/18/14,23:28,08:33,9.08,
02/17/14,00:21,08:12,7.85,
02/16/14,23:59,09:00,9.00,
02/14/14,03:09,07:45,4.59,
02/13/14,23:41,08:03,8.36,
02/12/14,02:12,07:30,5.29,
02/11/14,00:05,07:50,7.73,
02/10/14,23:03,07:15,8.19,
02/09/14,00:18,08:42,8.4,
02/08/14,23:09,07:45,8.59,
02/07/14,00:44,07:30,6.76,
02/06/14,23:33,07:40,8.11,
02/05/14,01:07,07:10,6.04,
02/04/14,22:50,07:10,8.33,
02/03/14,07:00,07:00,2.77,
02/03/14,23:41,07:00,7.30,
02/02/14,00:51,08:00,7.13,
02/01/14,23:57,08:15,8.3,
01/31/14,09:45,09:46,5.55,
01/31/14,04:34,07:40,3.09,
01/30/14,23:16,08:00,8.72,
01/29/14,07:05,07:30,0.41,
01/29/14,03:43,07:04,3.35,
01/29/14,01:18,03:42,2.41,
01/28/14,23:14,07:30,8.25,
01/27/14,23:17,07:10,7.87,
01/24/14,07:11,07:30,0.31,
01/24/14,07:10,07:10,0.00,
01/24/14,03:46,07:10,3.40,
01/23/14,23:52,08:25,8.53,
01/22/14,03:44,07:30,3.76,
01/21/14,23:28,07:05,7.61,
01/20/14,23:10,07:10,7.98,
01/19/14,23:19,07:42,8.38,
01/18/14,23:18,23:18,0.00,
01/18/14,01:01,08:58,7.95,
01/18/14,00:48,01:00,0.21,
01/17/14,02:37,07:20,4.71,
01/16/14,23:16,07:05,7.82,
01/15/14,23:47,07:00,7.21,
01/14/14,07:11,07:30,0.31,
01/14/14,23:08,06:47,7.64,
01/13/14,23:00,07:00,7.99,
01/12/14,01:11,08:59,7.80,
01/11/14,00:02,09:26,9.40,
01/10/14,00:14,07:07,6.88,
01/09/14,00:28,06:55,6.44,
01/08/14,23:26,07:10,7.72,
01/07/14,22:33,06:56,8.39,
01/06/14,00:18,06:45,6.43,
01/04/14,23:54,07:00,7.08,
01/03/14,08:30,08:31,0.01,
01/03/14,00:26,08:30,8.06,
01/03/14,00:24,00:25,0.02,
01/02/14,23:34,08:00,8.42,
01/01/14,02:21,11:04,8.71,
12/31/13,00:17,08:59,8.70,
12/30/13,02:14,10:34,8.33,
12/28/13,01:23,09:09,7.75,
12/27/13,23:15,08:51,9.59,
12/26/13,00:01,05:35,5.56,
12/25/13,23:51,23:55,0.07,
12/25/13,01:10,07:34,6.4,
12/24/13,23:47,08:44,8.95,
12/23/13,23:07,09:07,10.0,
12/22/13,01:35,08:13,6.63,
12/21/13,00:12,07:30,7.28,
12/20/13,00:42,09:21,8.63,
12/19/13,23:50,08:28,8.62,
12/15/13,23:13,07:00,7.78,
12/14/13,07:35,07:35,0.0,
12/14/13,23:19,07:35,8.27,
12/13/13,23:16,23:18,0.02,
12/13/13,23:05,08:50,9.75,
12/12/13,23:34,08:25,8.85,
12/11/13,23:36,08:20,8.72,
12/10/13,23:40,08:30,8.82,
12/09/13,23:09,07:32,8.37,
12/08/13,00:18,08:16,7.95,
12/06/13,22:52,07:00,8.12,
12/05/13,22:44,07:48,9.06,
12/04/13,08:22,09:22,1.0,
12/04/13,23:52,08:08,8.26,
12/03/13,00:12,08:21,8.14,
12/03/13,23:57,00:00,0.06,
12/02/13,20:49,07:45,10.9,
12/01/13,13:39,15:46,2.11,
11/30/13,19:00,19:00,0.0,
11/30/13,22:23,09:11,10.7,
11/29/13,22:23,22:23,8.33,
11/29/13,03:14,07:45,4.51,
11/28/13,00:14,07:15,7.01,
11/27/13,00:48,06:55,6.11,
11/26/13,22:48,07:17,8.48,
11/25/13,23:08,07:10,8.03,
11/23/13,01:00,09:20,8.33,
11/22/13,02:00,06:52,4.85,
11/21/13,00:03,07:50,7.78,
11/20/13,07:20,07:30,0.16,
11/20/13,07:13,07:20,0.11,
11/20/13,01:32,07:12,5.66,
11/19/13,07:29,08:00,0.50,
11/19/13,23:00,07:28,8.46,
11/18/13,23:47,07:13,7.43,
11/17/13,02:01,09:00,6.98,
11/16/13,21:38,08:50,11.2,
11/15/13,04:28,07:40,3.19,
11/14/13,00:11,07:56,7.75,
11/13/13,01:40,07:30,5.83,
11/12/13,23:58,07:40,7.7,
11/11/13,00:08,07:05,6.94,
11/10/13,00:38,08:30,7.86,
11/09/13,22:41,09:00,10.3,
11/08/13,03:51,07:55,4.06,
11/07/13,23:52,07:15,7.37,
11/06/13,02:43,06:47,4.06,
11/05/13,23:13,07:00,7.78,
11/04/13,00:14,07:05,6.85,
11/03/13,01:14,08:25,8.18,
11/02/13,01:20,07:55,6.58,
11/01/13,00:37,07:05,6.45,
10/31/13,00:14,07:45,7.50,
10/30/13,00:48,06:55,6.11,
10/29/13,23:28,07:30,8.03,
10/28/13,23:11,06:55,7.72,
10/27/13,22:10,08:30,10.3,
10/25/13,03:31,08:00,4.47,
10/24/13,07:48,08:00,0.19,
10/24/13,00:01,07:45,7.73,
10/23/13,07:05,07:10,0.06,
10/23/13,06:57,07:05,0.13,
10/23/13,06:56,06:56,5.55,
10/23/13,01:58,06:55,4.93,
10/22/13,01:38,07:15,5.60,
10/21/13,23:33,06:55,7.36,
10/20/13,23:20,07:57,8.62,
10/19/13,23:53,07:57,8.07,
10/18/13,23:53,06:55,7.03,
10/17/13,07:16,07:45,0.47,
10/17/13,23:54,07:15,7.33,
10/16/13,00:00,06:45,6.73,
10/15/13,23:11,07:15,8.05,
10/14/13,22:38,08:30,9.86,
10/13/13,23:06,07:41,8.57,
10/11/13,01:11,06:45,5.56,
10/10/13,07:01,07:15,0.22,
10/10/13,23:25,07:00,7.57,
10/09/13,23:39,06:55,7.26,
10/08/13,23:40,07:00,7.33,
10/07/13,22:22,06:55,8.54,
10/06/13,23:37,08:15,8.62,
10/05/13,23:01,08:45,9.73,
10/04/13,23:42,06:55,7.21,
10/03/13,07:15,07:30,0.24,
10/03/13,07:01,07:15,0.22,
10/03/13,23:31,07:00,7.47,
10/02/13,00:08,06:45,6.61,
10/01/13,23:03,07:10,8.11,
09/30/13,23:26,06:55,7.47,
09/29/13,00:18,08:30,8.19,
09/28/13,00:32,08:30,7.96,
09/27/13,06:56,07:00,0.05,
09/27/13,00:33,06:55,6.36,
09/26/13,07:41,08:00,0.31,
09/26/13,07:21,07:35,0.22,
09/26/13,23:30,07:20,7.83,
09/25/13,00:01,06:55,6.9,
09/24/13,23:37,07:20,7.71,
09/23/13,06:45,06:55,0.15,
09/23/13,23:10,06:45,7.57,
09/22/13,23:28,07:15,7.78,
09/21/13,00:18,11:17,10.9,
09/20/13,03:04,07:30,4.43,
09/19/13,00:39,08:07,7.46,
09/18/13,00:07,06:45,6.62,
09/17/13,23:27,07:00,7.53,
09/16/13,23:04,23:27,0.38,
09/16/13,23:32,06:52,7.33,
09/15/13,23:27,08:00,8.55,
09/14/13,22:53,06:45,7.86,
09/13/13,22:58,06:45,7.78,
09/12/13,23:50,08:00,8.15,
09/11/13,23:16,06:45,7.47,
09/10/13,23:13,07:00,7.78,
09/09/13,22:43,06:45,8.03,
09/08/13,01:09,09:00,7.85,
09/07/13,02:11,10:00,7.81,
09/06/13,02:12,08:51,6.65,
09/05/13,23:42,07:00,7.29,
09/04/13,01:03,07:00,5.95,
09/03/13,00:44,07:30,6.76,
09/02/13,22:20,07:11,8.86,
09/01/13,22:37,06:52,8.25,
08/31/13,00:05,07:47,7.71,
08/30/13,00:04,08:48,8.72,
08/29/13,23:42,09:20,9.63,
08/28/13,00:00,07:10,7.16,
08/27/13,00:06,07:30,7.39,
08/26/13,23:10,08:47,9.61,
08/25/13,23:16,08:37,9.35,
08/24/13,23:29,07:07,7.63,
08/23/13,22:53,06:45,7.86,
08/22/13,22:13,06:59,8.77,
08/21/13,22:23,06:00,7.61,
08/20/13,22:18,22:23,0.07,
08/20/13,22:45,06:30,7.75,
08/18/13,23:34,07:27,7.87,
08/17/13,00:39,09:36,8.93,
08/16/13,22:57,09:10,10.2,
08/15/13,22:29,06:30,8.00,
08/14/13,22:36,06:00,7.39,
08/13/13,23:00,07:53,8.88,
08/12/13,23:02,06:30,7.45,
08/11/13,23:18,08:09,8.83,
08/10/13,23:19,08:23,9.07,
08/09/13,22:28,06:40,8.19,
08/08/13,22:26,06:45,8.31,
08/07/13,22:33,07:40,9.12,
08/06/13,23:43,08:14,8.51,
08/05/13,23:51,08:17,8.43,
08/04/13,23:22,07:36,8.22,
08/03/13,23:29,08:08,8.63,
08/02/13,23:20,07:30,8.16,
08/01/13,22:43,07:15,8.53,
07/31/13,22:44,06:45,8.00,
07/30/13,23:32,07:42,8.17,
07/29/13,23:14,07:10,7.93,
07/28/13,23:08,08:13,9.08,
07/27/13,22:20,07:50,9.50,
07/26/13,23:31,08:31,8.99,
07/25/13,21:54,06:06,8.19,
07/23/13,22:43,07:00,8.28,
07/22/13,22:15,07:00,8.73,
07/21/13,23:51,08:04,8.21,
07/20/13,23:10,07:09,7.99,
07/19/13,23:03,07:00,7.94,
07/18/13,22:34,06:55,8.35,
07/17/13,22:25,06:00,7.58,
07/16/13,22:19,06:00,7.68,
07/15/13,22:51,06:00,7.15,
07/14/13,23:10,06:45,7.58,
07/13/13,22:46,06:45,7.98,
07/12/13,22:41,07:01,8.32,
07/11/13,22:54,07:08,8.23,
07/10/13,23:02,07:42,8.66,
07/09/13,00:08,07:40,7.53,
07/08/13,06:15,07:49,1.56,
07/08/13,00:53,06:13,5.32,
07/07/13,00:08,08:00,7.86,
07/06/13,23:17,09:36,10.3,
07/05/13,00:13,07:00,6.78,
07/04/13,22:34,06:47,8.22,
07/03/13,22:57,06:55,7.96,
07/02/13,23:11,06:58,7.78,
07/01/13,00:18,09:35,9.28,
06/30/13,00:10,08:24,8.23,
06/29/13,01:32,09:26,7.90,
06/28/13,23:17,08:31,9.23,
06/27/13,22:34,06:26,7.86,
06/26/13,23:11,07:53,8.7,
06/25/13,05:35,07:06,1.52,
06/25/13,23:26,05:35,6.14,
06/24/13,22:36,06:56,8.33,
06/23/13,00:09,07:24,7.25,
06/22/13,00:15,09:15,9.0,
06/21/13,23:07,07:00,7.87,
06/20/13,23:11,06:52,7.68,
06/19/13,23:08,06:45,7.61,
06/18/13,22:46,07:00,8.22,
06/17/13,23:26,07:00,7.56,
06/16/13,00:37,07:45,7.14,
06/15/13,00:30,09:23,8.88,
06/14/13,23:45,08:30,8.74,
06/13/13,22:40,05:31,6.83,
06/12/13,22:35,06:00,7.41,
06/11/13,06:01,07:00,0.97,
06/11/13,22:16,05:45,7.48,
06/10/13,22:21,05:42,7.33,
06/09/13,23:59,08:16,8.27,
